Time_spent_seconds,Concentration std
25,0.0495544273929
95,0.0691866565084
145,0.0638913231538
31,0.0778817470881
60,0.0447551255896
39,0.0678212028466
73,0.0631466836984
15,0.0310715913172
12,0.0294625185617
15,0.0475174675485
45,0.07730104886
40,0.0977879171201
17,0.0255282956257
263,0.105124757811
171,0.0572555283096
42,0.0929146898603
34,0.0823396633043
10,0.0795589158659
58,0.0615323984829
8,0.020701583407
15,0.0901081532934
10,0.00583095189485
14,0.0367481938613
76,0.0984955329728
115,0.0882193019178
311,0.120361840951
66,0.0575663627373
70,0.0730505122971
316,0.0708962998251
49,0.0821485881348
157,0.0687343488371
147,0.0581238648804
65,0.0635763509231
305,0.120286118855
6,0.0064
