Time_spent_seconds,Concentration avg
58,0.71
8,0.7
15,0.55
10,0.61
14,0.78
76,0.44
73,0.56
15,0.58
12,0.56
15,0.84
45,0.76
40,0.72
17,0.87
263,0.57
171,0.51
42,0.6
34,0.62
10,0.55
