Time_spent_seconds,Concentration std
105,0.075380316392
88,0.0380278634688
30,0.0346079479191
27,0.0470697105999
15,0.0455466793521
50,0.0577631010915
5,0.00335410196625
10,0.0415033807327
25,0.06975344617
10,0.00770369643584
85,0.0727144759209
22,0.0240634973168
15,0.01166261244
7,0.00977525219908
43,0.0584099282929
44,0.0860692853171
25,0.0249473822692
30,0.0645241536171
30,0.0174925314876
100,0.119979854741
45,0.0290294656607
12,0.066452619341
28,0.027008301448
15,0.0650553483359
55,0.0273211316458
60,0.045648348949
60,0.0998259615866
115,0.0681953566039
45,0.0673967431532
55,0.0628280464566
58,0.128185530368
110,0.057260320828
155,0.0806576446928
51,0.0800774976174
10,0.0244284670006
35,0.129658371628
345,0.114963437385
95,0.129827609312
85,0.0998762665613
