Time_spent_seconds,Concentration std
55,0.0771657398418
146,0.0931550416548
121,0.0807235587054
71,0.0827846719092
14,0.0563205113613
44,0.0343670484199
114,0.0754812342497
145,0.0941967977727
15,0.0188504334957
16,0.0401419039033
73,0.0691908309948
37,0.103288660031
13,0.0199772370462
35,0.0688458422855
87,0.0891866270061
28,0.0947558369656
15,0.0795450169541
25,0.0620258710353
25,0.0620258710353
5,0.00987702159335
14,0.0681900937739
55,0.0593616395346
21,0.0195741363642
30,0.0425767120153
35,0.0737795465397
39,0.035705208906
16,0.024403182295
24,0.0513080350706
177,0.0880608236315
65,0.0397370126821
52,0.0953936768358
