Time_spent_seconds,Concentration avg
55,0.59
146,0.58
121,0.53
71,0.5
14,0.43
44,0.41
114,0.43
145,0.46
15,0.32
16,0.53
73,0.46
37,0.62
13,0.46
35,0.48
87,0.45
28,0.48
15,0.53
25,0.44
25,0.44
5,0.67
14,0.58
55,0.57
21,0.65
30,0.56
35,0.66
39,0.55
16,0.58
24,0.61
177,0.49
65,0.43
52,0.48
