Unknown,Concentration std
0,0.0
1,0.0698
2,-0.0656
3,0.0502
4,0.1268
5,-0.1308
6,-0.1464
7,0.0876
8,-0.0724
9,0.1012
10,0.0124
11,0.049
12,0.0198
13,0.0372
14,0.0308
15,0.0118
16,0.0604
17,0.102
18,0.0062
19,-0.0466
20,0.0472
21,-0.0028
22,-0.0778
23,-0.1132
24,-0.0184
25,0.0472
26,0.023
27,-0.0644
28,0.0398
29,0.0
30,0.0642
31,0.0204
32,-0.0312
33,-0.029
34,0.0154
35,-0.1146
36,-0.0194
37,0.00666666666667
